"","Sample","OTU","Genus","Abundance"
"351","1337_221_S221_L001","ASV00316","Neptuniibacter",0
"352","1337_221_S221_L001","ASV00476","Oleibacter",0
"353","1337_222_S222_L001","ASV00007","Limosilactobacillus",0
"354","1337_222_S222_L001","ASV00009","Glaciecola",0
"355","1337_222_S222_L001","ASV00013","Alteromonas",0
"356","1337_222_S222_L001","ASV00014","Alteromonas",0
"357","1337_222_S222_L001","ASV00015","Salmonella",0
"358","1337_222_S222_L001","ASV00016","Escherichia-Shigella",0
"359","1337_222_S222_L001","ASV00029","Oceaniserpentilla",0
"360","1337_222_S222_L001","ASV00040","Marinomonas",0
"361","1337_222_S222_L001","ASV00043","Pseudoalteromonas",0
"362","1337_222_S222_L001","ASV00061",NA,0
"363","1337_222_S222_L001","ASV00068","Glaciecola",0
"364","1337_222_S222_L001","ASV00074","Colwellia",0
"365","1337_222_S222_L001","ASV00186","Alteromonas",0
"366","1337_222_S222_L001","ASV00316","Neptuniibacter",0
"367","1337_222_S222_L001","ASV00476","Oleibacter",0
"368","1337_223_S223_L001","ASV00007","Limosilactobacillus",0
"369","1337_223_S223_L001","ASV00009","Glaciecola",0
"370","1337_223_S223_L001","ASV00013","Alteromonas",0
"371","1337_223_S223_L001","ASV00014","Alteromonas",0
"372","1337_223_S223_L001","ASV00015","Salmonella",0
"373","1337_223_S223_L001","ASV00016","Escherichia-Shigella",0
"374","1337_223_S223_L001","ASV00031","Alteromonas",0
"375","1337_223_S223_L001","ASV00040","Marinomonas",0
"376","1337_223_S223_L001","ASV00048","Colwellia",0
"377","1337_223_S223_L001","ASV00053","Colwellia",0
"378","1337_223_S223_L001","ASV00068","Glaciecola",0
"379","1337_223_S223_L001","ASV00074","Colwellia",0
"380","1337_223_S223_L001","ASV00186","Alteromonas",0
"381","1337_223_S223_L001","ASV00316","Neptuniibacter",0
"382","1337_223_S223_L001","ASV00476","Oleibacter",0
"383","1337_224_S224_L001","ASV00007","Limosilactobacillus",0
"384","1337_224_S224_L001","ASV00009","Glaciecola",0
"385","1337_224_S224_L001","ASV00015","Salmonella",0
"386","1337_224_S224_L001","ASV00016","Escherichia-Shigella",0
"387","1337_224_S224_L001","ASV00031","Alteromonas",0
"388","1337_224_S224_L001","ASV00068","Glaciecola",0
"389","1337_224_S224_L001","ASV00186","Alteromonas",0
"390","1337_224_S224_L001","ASV00316","Neptuniibacter",0
"391","1337_224_S224_L001","ASV00476","Oleibacter",0
"392","1337_225_S225_L001","ASV00007","Limosilactobacillus",0
"393","1337_225_S225_L001","ASV00013","Alteromonas",0
"394","1337_225_S225_L001","ASV00014","Alteromonas",0
"395","1337_225_S225_L001","ASV00015","Salmonella",0
"396","1337_225_S225_L001","ASV00016","Escherichia-Shigella",0
"397","1337_225_S225_L001","ASV00031","Alteromonas",0
"398","1337_225_S225_L001","ASV00068","Glaciecola",0
"399","1337_225_S225_L001","ASV00316","Neptuniibacter",0
"400","1337_225_S225_L001","ASV00476","Oleibacter",0
"401","1337_226_S226_L001","ASV00002","Prochlorococcus MIT9313",0
"402","1337_226_S226_L001","ASV00007","Limosilactobacillus",0
"403","1337_226_S226_L001","ASV00009","Glaciecola",0
"404","1337_226_S226_L001","ASV00013","Alteromonas",0
"405","1337_226_S226_L001","ASV00014","Alteromonas",0
"406","1337_226_S226_L001","ASV00015","Salmonella",0
"407","1337_226_S226_L001","ASV00016","Escherichia-Shigella",0
"408","1337_226_S226_L001","ASV00029","Oceaniserpentilla",0
"409","1337_226_S226_L001","ASV00031","Alteromonas",0
"410","1337_226_S226_L001","ASV00040","Marinomonas",0
"411","1337_226_S226_L001","ASV00043","Pseudoalteromonas",0
"412","1337_226_S226_L001","ASV00061",NA,0
"413","1337_226_S226_L001","ASV00068","Glaciecola",0
"414","1337_226_S226_L001","ASV00074","Colwellia",0
"415","1337_226_S226_L001","ASV00186","Alteromonas",0
"416","1337_226_S226_L001","ASV00316","Neptuniibacter",0
"417","1337_226_S226_L001","ASV00476","Oleibacter",0
"418","1337_227_S227_L001","ASV00007","Limosilactobacillus",0
"419","1337_227_S227_L001","ASV00009","Glaciecola",0
"420","1337_227_S227_L001","ASV00013","Alteromonas",0
"421","1337_227_S227_L001","ASV00014","Alteromonas",0
