"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASV00128",36.7668624519892,0.185616745832794,2.14881027677671,0.0863811700078172,0.931163415131195,0.977635474004398
"ASV00131",1.8108301356249,2.36684357596678,3.64483492373793,0.649369210263021,0.516099760426783,NA
"ASV00134",48.6152154111439,0.76612776200735,3.10141837549403,0.247024963823306,0.804888904306718,0.93709079695039
"ASV00135",46.9393365536144,1.69405998271508,2.6698785100747,0.634508265571859,0.525749174307739,0.847739099242622
"ASV00136",30.5719717308604,6.43478722728835,2.45400156315111,2.62216101404012,0.0087374140507973,0.092015891722459
"ASV00139",7.57906276953563,1.74167364378789,3.04202866212628,0.572536894695304,0.566958298046788,0.866877095395174
"ASV00142",6.28206195055127,1.05877441343232,3.49908040699019,0.302586477097578,0.762205021352407,0.930442460892484
"ASV00147",0,0,0,0,1,NA
"ASV00148",9.5734436320795,4.38394436690079,3.17444973604842,1.38100922409248,0.167276124528313,0.4869472599761
"ASV00151",1.55240216766775,2.58823570863573,3.75080938715901,0.690047251533661,0.490164473076976,NA
"ASV00153",101.205269976586,0.724755921657397,2.51333474196816,0.28836426344461,0.773067920029363,0.930442460892484
"ASV00156",3.36686897872834,-1.99608705553465,3.68795157008494,-0.541245463125394,NA,NA
"ASV00158",27.7597537756918,22.907440500479,3.04433654289414,7.52460845826911,5.2878543653508e-14,1.89011793456951e-12
"ASV00159",1.38627940030766,-0.814907711571154,3.79300156020982,-0.214845076817231,0.829888107194213,NA
"ASV00162",220.948945841965,-1.33941440486455,2.80536503713066,-0.477447457687897,0.633043527060524,0.892723242145205
"ASV00163",24.7918224411161,0.842048511210497,2.29744511646104,0.366515180352851,0.713980687223214,0.922477141362393
"ASV00164",16.3094644058391,2.12432144961263,2.92141538094944,0.727154879605735,0.467131083052153,0.798764922940144
"ASV00170",0.56747385788658,-0.814894983666627,3.79300156620126,-0.214841720849263,0.829890723779255,NA
"ASV00171",195.917288487171,-2.73040923106106,3.50237756661104,-0.779587345776387,0.435633806685839,0.773688545010956
"ASV00172",212.918913138192,0.936408396124952,2.65042182878795,0.353305419520022,0.723859483004137,0.922718876225008
"ASV00173",1.58135303365857,-0.814909632080916,3.79300155930597,-0.214845583198238,0.82988771237864,NA
"ASV00174",2.38024938113112,-0.814915802511747,3.79300155638857,-0.214847210157133,0.829886443870237,NA
"ASV00175",3.50485944236766,2.99018108352124,2.88032558449256,1.03813995876721,0.299204900554278,NA
"ASV00176",0,0,0,0,1,NA
"ASV00177",6.54599866137734,3.97691051308073,3.13811245142856,1.2672938190186,0.205050249810476,0.552815473489042
