"","Sample","OTU","Genus","Abundance"
"243","1337_217_S217_L001","ASV00002","Prochlorococcus MIT9313",37
"244","1337_242_S242_L001","ASV00004","Synechococcus CC9902",36
"245","1337_214_S214_L001","ASV00010","Shewanella",35
"246","1337_221_S221_L001","ASV00012","Acinetobacter",35
"247","1337_224_S224_L001","ASV00043","Pseudoalteromonas",34
"248","1337_216_S216_L001","ASV00043","Pseudoalteromonas",32
"249","1337_224_S224_L001","ASV00036","Synechococcus CC9902",32
"250","1337_239_S239_L001","ASV00025","Pseudophaeobacter",32
"251","1337_239_S239_L001","ASV00053","Colwellia",32
"252","1337_225_S225_L001","ASV00009","Glaciecola",30
"253","1337_219_S219_L001","ASV00040","Marinomonas",28
"254","1337_226_S226_L001","ASV00025","Pseudophaeobacter",28
"255","1337_212_S212_L001","ASV00043","Pseudoalteromonas",27
"256","1337_213_S213_L001","ASV00012","Acinetobacter",26
"257","1337_214_S214_L001","ASV00012","Acinetobacter",26
"258","1337_222_S222_L001","ASV00002","Prochlorococcus MIT9313",25
"259","1337_226_S226_L001","ASV00048","Colwellia",25
"260","1337_242_S242_L001","ASV00010","Shewanella",25
"261","1337_242_S242_L001","ASV00036","Synechococcus CC9902",25
"262","1337_213_S213_L001","ASV00048","Colwellia",24
"263","1337_214_S214_L001","ASV00061",NA,24
"264","1337_224_S224_L001","ASV00013","Alteromonas",24
"265","1337_221_S221_L001","ASV00043","Pseudoalteromonas",22
"266","1337_239_S239_L001","ASV00074","Colwellia",22
"267","1337_237_S237_L001","ASV00008","Shewanella",21
"268","1337_242_S242_L001","ASV00012","Acinetobacter",21
"269","1337_239_S239_L001","ASV00004","Synechococcus CC9902",20
"270","1337_219_S219_L001","ASV00009","Glaciecola",19
"271","1337_240_S240_L001","ASV00029","Oceaniserpentilla",19
"272","1337_242_S242_L001","ASV00003","Clade Ia",19
"273","1337_242_S242_L001","ASV00029","Oceaniserpentilla",19
"274","1337_240_S240_L001","ASV00013","Alteromonas",18
"275","1337_240_S240_L001","ASV00061",NA,18
"276","1337_213_S213_L001","ASV00074","Colwellia",15
"277","1337_227_S227_L001","ASV00043","Pseudoalteromonas",15
"278","1337_213_S213_L001","ASV00043","Pseudoalteromonas",12
"279","1337_222_S222_L001","ASV00025","Pseudophaeobacter",12
"280","1337_216_S216_L001","ASV00013","Alteromonas",11
"281","1337_217_S217_L001","ASV00040","Marinomonas",10
"282","1337_237_S237_L001","ASV00013","Alteromonas",10
"283","1337_220_S220_L001","ASV00061",NA,9
"284","1337_238_S238_L001","ASV00008","Shewanella",9
"285","1337_216_S216_L001","ASV00014","Alteromonas",8
"286","1337_240_S240_L001","ASV00010","Shewanella",8
"287","1337_237_S237_L001","ASV00031","Alteromonas",7
"288","1337_238_S238_L001","ASV00029","Oceaniserpentilla",7
"289","1337_223_S223_L001","ASV00043","Pseudoalteromonas",6
"290","1337_237_S237_L001","ASV00012","Acinetobacter",6
"291","1337_224_S224_L001","ASV00014","Alteromonas",5
"292","1337_240_S240_L001","ASV00014","Alteromonas",5
"293","1337_237_S237_L001","ASV00014","Alteromonas",3
"294","1337_216_S216_L001","ASV00031","Alteromonas",2
"295","1337_212_S212_L001","ASV00013","Alteromonas",0
"296","1337_212_S212_L001","ASV00014","Alteromonas",0
"297","1337_212_S212_L001","ASV00031","Alteromonas",0
"298","1337_213_S213_L001","ASV00009","Glaciecola",0
"299","1337_213_S213_L001","ASV00013","Alteromonas",0
"300","1337_213_S213_L001","ASV00014","Alteromonas",0
"301","1337_213_S213_L001","ASV00025","Pseudophaeobacter",0
"302","1337_213_S213_L001","ASV00029","Oceaniserpentilla",0
"303","1337_213_S213_L001","ASV00031","Alteromonas",0
"304","1337_213_S213_L001","ASV00040","Marinomonas",0
"305","1337_213_S213_L001","ASV00053","Colwellia",0
"306","1337_213_S213_L001","ASV00068","Glaciecola",0
"307","1337_214_S214_L001","ASV00013","Alteromonas",0
"308","1337_214_S214_L001","ASV00014","Alteromonas",0
"309","1337_214_S214_L001","ASV00031","Alteromonas",0
"310","1337_216_S216_L001","ASV00068","Glaciecola",0
"311","1337_217_S217_L001","ASV00009","Glaciecola",0
"312","1337_217_S217_L001","ASV00013","Alteromonas",0
"313","1337_217_S217_L001","ASV00014","Alteromonas",0
"314","1337_217_S217_L001","ASV00031","Alteromonas",0
"315","1337_217_S217_L001","ASV00043","Pseudoalteromonas",0
"316","1337_217_S217_L001","ASV00068","Glaciecola",0
"317","1337_218_S218_L001","ASV00001","Clade Ia",0
"318","1337_218_S218_L001","ASV00002","Prochlorococcus MIT9313",0
"319","1337_218_S218_L001","ASV00003","Clade Ia",0
"320","1337_218_S218_L001","ASV00004","Synechococcus CC9902",0
"321","1337_218_S218_L001","ASV00008","Shewanella",0
"322","1337_218_S218_L001","ASV00009","Glaciecola",0
"323","1337_218_S218_L001","ASV00010","Shewanella",0
"324","1337_218_S218_L001","ASV00012","Acinetobacter",0
"325","1337_218_S218_L001","ASV00013","Alteromonas",0
"326","1337_218_S218_L001","ASV00014","Alteromonas",0
"327","1337_218_S218_L001","ASV00025","Pseudophaeobacter",0
"328","1337_218_S218_L001","ASV00029","Oceaniserpentilla",0
"329","1337_218_S218_L001","ASV00031","Alteromonas",0
"330","1337_218_S218_L001","ASV00036","Synechococcus CC9902",0
"331","1337_218_S218_L001","ASV00040","Marinomonas",0
"332","1337_218_S218_L001","ASV00043","Pseudoalteromonas",0
